"X","Plot_ID","Latitude","Longitude","Elevation","Category7","Category10","AcousticDiversity","AcousticEveness","BioAcoustic","SoundscapeSaturation","EntropyOfVarianceSpectrum","AcousticComplexity","TemporalEntropy","EventsPerSecond","Color","TD_q0_est_Axis1","TD_q1_est_Axis1","TD_q2_est_Axis1","FD_q0_est_Axis1","FD_q1_est_Axis1","FD_q2_est_Axis1","PD_q0_est_Axis1","PD_q1_est_Axis1","PD_q2_est_Axis1"
18,"CAZ07",0.399314,-79.25305,170,"CA_M","A_Caca",5.219186448,0.420005003,425.0570854,0.780941918,0.417623598,0.464405529,0.057654137,0.773412698,"orange",-0.370663916464286,-0.379967926503825,-0.391709945072736,-0.0682249580167354,-0.0934612508348099,-0.125496375245991,-0.334531535908187,-0.222997802311635,-0.314098502851937
19,"CAZ12",0.421661,-79.235676,167,"CA_M","A_Caca",5.2232677,0.419996457,415.2054911,0.798877534,0.430856086,0.474372638,0.048537789,0.983330233,"orange",-0.400181558068861,-0.480010140760548,-0.489575685807554,-0.106634064261702,-0.116270414654958,-0.138361536856334,-0.379084559464995,-0.270802883440788,-0.393922860700982
20,"CAZ14",0.41128,-79.265714,148,"CA_M","A_Caca",5.152284256,0.456807667,433.6275372,0.756431943,0.473238558,0.454130112,0.072700002,1.595079985,"orange",-0.30397720504431,-0.39205989615548,-0.418419286325464,-0.0903845342837259,-0.0982282101020659,-0.119599708903971,-0.336885431723882,-0.237059173259875,-0.350116181172704
21,"CAZ17",0.407272,-79.2509,163,"CA_M","A_Caca",5.227775793,0.407774247,466.1567818,0.813944499,0.43686099,0.485362045,0.097457261,1.557986111,"orange",-0.269579136438774,-0.369350404424795,-0.430258310354797,-0.0812772101353847,-0.104058224210615,-0.136807952224159,-0.318103283012477,-0.207819477255833,-0.280878679569703
30,"OGZ10",0.433639,-79.235779,165,"OG_M","A_Old",5.198501186,0.43580552,357.0446583,0.776749384,0.453501523,0.43775491,0.041873139,0.755719866,"sienna",0.0895486351646097,0.0632321010813973,0.0732274446700245,-0.00531784922163713,-0.000795554192399629,0.00192627226794857,0.0636570861274119,0.076150415340514,-0.00174656911358212
31,"OGZ13",0.423632,-79.261471,145,"OG_M","A_Old",5.190047633,0.441057923,355.3624656,0.786311558,0.558957198,0.438024092,0.03832922,1.030555556,"sienna",-0.0977831529335128,-0.0660439578965217,-0.065815145401464,-0.02272797068825,-0.0154857066114203,-0.0191124831312062,-0.100586783020512,0.00394169411116607,-0.0708127948067902
32,"OGZ20",0.461047,-79.1438,172,"OG_M","A_Old",5.230548264,0.408346123,435.4315596,0.840923491,0.454080344,0.438438312,0.041551097,0.870588418,"sienna",-0.0660536121025833,-0.0262265311931613,-0.0253040220975109,-0.00518250589948328,-0.011267821804766,-0.0157578815214284,-0.0491469354303358,0.0504773055229245,-0.0263046786665486
34,"OGZ22",0.466516,-79.098848,180,"OG_M","A_Old",5.210437781,0.424652695,370.0212575,0.799038842,0.503329859,0.444055565,0.051697682,1.084316096,"sienna",-0.0525111150326865,0.0961671488145698,0.141605832720225,0.0546561423957207,0.0568468792264857,0.0927045293768041,-0.0245592956467264,0.000335305904288641,0.0749038696718365
35,"OGZ23",0.456369,-79.114619,180,"OG_M","A_Old",5.195745957,0.437608535,443.0342141,0.825717018,0.518638889,0.443775579,0.046701625,1.246906002,"sienna",-0.0421493014532423,0.0695242554798219,0.128514551530884,0.00720777050665546,0.036102587289458,0.0703034151749124,-0.0251968666909087,0.0339343613619848,0.037708535383739
36,"OGZ25",0.456803,-79.13897,180,"OG_M","A_Old",5.21139803,0.430826978,492.1381646,0.823181152,0.504139397,0.437774181,0.043775956,1.139037698,"sienna",-0.122511866602001,-0.090585277819282,-0.0840950112440888,-0.0127470843336786,-0.0078387000649614,-0.00904858083768632,-0.0780550920696806,0.0216205473912069,-0.0624564629097353
73,"PAZ07",0.390332,-79.254313,172,"PA_M","A_Past",5.173666927,0.455886048,432.3686482,0.749180385,0.445520609,0.504914712,0.066874917,1.191071429,"orange",-0.398601263215239,-0.429019403349519,-0.436436857479919,-0.102060626620309,-0.108907084013381,-0.136082249594918,-0.368003561578261,-0.183834844501988,-0.0825792033817049
74,"PAZ11",0.427912,-79.236187,166,"PA_M","A_Past",5.221044186,0.430392916,370.1661,0.788941883,0.426864529,0.463887666,0.048612294,1.025868056,"orange",-0.235208304799675,-0.300067900542159,-0.33633182798526,-0.0574364353704988,-0.0804835490912875,-0.100857716243227,-0.207445458033016,-0.166924062122037,-0.273731732057536
75,"PAZ15",0.405708,-79.265578,160,"PA_M","A_Past",5.085258599,0.452394,297.627718,0.498187837,0.296238742,0.461997954,0.121789567,1.300034102,"orange",-0.270225507045771,-0.350551819474414,-0.413611933974983,-0.0715616707097542,-0.0889137520263707,-0.115603506926289,-0.238334769000613,-0.18066474173406,-0.269912421977612
25,"CA62",0.511048995,-79.212168,372,"Cacao","F_Caca",5.150530162,0.461055468,150.3710391,0.594220843,0.496989101,0.442722132,0.109876027,1.432955109,"yellow",-0.17154365685955,-0.194287223610657,-0.221852163662538,-0.0440266608818407,-0.0468653229314802,-0.0631294438337937,-0.159207147999018,-0.0676118147197728,-0.145079667040505
24,"CA61",0.534000993,-79.18769603,293,"Cacao","F_Caca",5.186626934,0.439231257,167.3254395,0.600571405,0.444795715,0.443745881,0.07661134,0.624091642,"yellow",-0.103307819225763,-0.133496585444591,-0.160285052860234,-0.0368548409282762,-0.0361626379575467,-0.0522603287120158,-0.0854039638507161,-0.0253990523740803,-0.11524495932581
22,"CA59",0.557309976,-79.179868,350,"Cacao","F_Caca",5.099873868,0.488441302,406.7010513,0.716965448,0.447732428,0.47005889,0.070080333,1.265051463,"yellow",-0.175564827533907,-0.277927571863144,-0.341336880917716,-0.0488002744355193,-0.0748976460587011,-0.10062289106806,-0.174610266995669,-0.131723439084427,-0.232194871874901
23,"CA60",0.510266,-79.2272,440,"Cacao","F_Caca",5.238046935,0.409967067,341.049288,0.807146345,0.468299704,0.504418718,0.081823491,1.22109375,"yellow",-0.0798977046715077,-0.143492488375478,-0.183292896291305,-0.0322164633082481,-0.04589520802721,-0.0643950163203314,-0.0621817190869341,-0.0112017127083481,-0.10809952405772
4,"CR05",0.51179071,-79.20359239,377,"C_Reg_I","F_CReg1",5.198613161,0.42464034,172.0798396,0.651794434,0.462477192,0.451602855,0.07840845,0.840085565,"greenyellow",-0.01294028615715,-0.0389647170921536,-0.0872437893013003,-0.00696285037521944,-0.011478088346157,-0.0264149575662622,-0.00542806700729138,0.0554125695757276,-0.0634767155960327
1,"CR01",0.496584764,-79.17814275,560,"C_Reg_I","F_CReg1",5.25537881,0.38091875,190.9141566,0.727523077,0.441482614,0.458099271,0.079964851,0.81063058,"greenyellow",-0.125871160392967,-0.0804949717985127,-0.0467127230932594,-0.0234691120142332,-0.00801356004371242,-0.0093251869280737,-0.0604497132255846,0.0580458468804662,-0.00333193670430162
6,"CR12",0.479973005,-79.21434,400,"C_Reg_I","F_CReg1",5.267075011,0.382323549,166.1457609,0.732981364,0.505381573,0.457729766,0.091075129,1.14078621,"greenyellow",0.0566905641889355,0.0760172193014058,0.144311907196669,0.0448775648141569,0.035475972125051,0.0497732921869817,0.0737179024891093,0.0284207101770383,0.0936979417795662
3,"CR03",0.508255139,-79.23685488,250,"C_Reg_I","F_CReg1",5.193745698,0.435346451,448.8283127,0.762208484,0.503033538,0.445681367,0.072946726,1.636154514,"greenyellow",-0.0153744253464599,-0.0250887178912763,-0.0281419082550138,-0.00835230646016925,-0.00927100552680305,-0.0170267673706377,-0.0189983327720114,0.0645402403585119,-0.0368451174250526
7,"CR13",0.488968967,-79.22612546,311,"C_Reg_I","F_CReg1",5.191864569,0.436827422,299.1789309,0.714596479,0.464745582,0.438141937,0.042802606,0.669250801,"greenyellow",0.165534020122176,0.170770736000938,0.18369762088095,0.0385063649258927,0.0747400679208237,0.105311201126099,0.151050992065995,0.0320156760051267,0.170709672564866
9,"CR18",0.541664,-79.144756,270,"C_Reg_I","F_CReg1",5.241398949,0.408637021,371.7547636,0.779679071,0.437509449,0.442653085,0.046292898,0.663178943,"greenyellow",-0.0084567858901472,0.0678940583480408,0.064390005252005,0.0333974036455426,0.0239744817457197,0.028340764019339,0.012548319638715,0.0940418346720774,0.0244330717830885
14,"CR11",0.477901585,-79.20506568,372,"C_Reg_II","F_CReg2",5.311363512,0.36262013,139.9038484,0.779577346,0.514035329,0.439188949,0.064180594,1.145110987,"chartreuse3",0.20343941627829,0.165435399843498,0.184660724029934,0.0474420103965251,0.0357815284161479,0.0407163470550099,0.132883827344261,0.129115576941511,0.087069015840699
15,"CR14",0.498159975,-79.13848336,529,"C_Reg_II","F_CReg2",5.29606556,0.376115361,322.8952596,0.879183815,0.494570865,0.436408959,0.041451273,0.661647445,"chartreuse3",0.202700655990616,0.314598236747912,0.392641417078255,0.0830893767753709,0.144017638979637,0.254704149019278,0.258859559959346,-0.0151138844215098,0.379276996093942
10,"CR04",0.51173321,-79.18950979,560,"C_Reg_II","F_CReg2",5.259735733,0.399676757,537.4899159,0.903257824,0.432101403,0.445422186,0.067278069,0.641539559,"chartreuse3",0.110208662790159,0.218655516833769,0.244128044426987,0.0266413652048334,0.0523762180253548,0.0683866701201723,0.0628021228190806,0.072625310366654,0.146301626700932
13,"CR10",0.477182753,-79.19957402,347,"C_Reg_II","F_CReg2",5.247679959,0.402666681,185.6141253,0.741399856,0.464739257,0.440921869,0.06299778,0.545771329,"chartreuse3",0.0826332980279063,0.0972443819312348,0.101775748632688,0.00785679517989355,0.0176914988938267,0.0148342494335005,0.0695856796128373,0.121208843526274,0.0952261800024596
