"X","Plot_ID","Latitude","Longitude","Elevation","Category7","Category10","AcousticDiversity","AcousticEveness","BioAcoustic","SoundscapeSaturation","EntropyOfVarianceSpectrum","AcousticComplexity","TemporalEntropy","EventsPerSecond","Color","TD_q0_est_Axis1","TD_q1_est_Axis1","TD_q2_est_Axis1","FD_q0_est_Axis1","FD_q1_est_Axis1","FD_q2_est_Axis1","PD_q0_est_Axis1","PD_q1_est_Axis1","PD_q2_est_Axis1"
16,"CAZ01",0.412866,-79.259515,150,"CA_M","A_Caca",5.221409594,0.417751686,456.9790638,0.810969761,0.456330034,0.459254328,0.063778547,1.811945064,"orange",-0.384908296858388,-0.393457778386904,-0.406644661834068,-0.0617299587325622,-0.0701038974948087,-0.0920882860253678,-0.291645027250777,-0.194498847832248,-0.26233630855609
17,"CAZ05",0.426547,-79.24618,160,"CA_M","A_Caca",5.214712139,0.417980454,421.2068614,0.815080915,0.505584578,0.464182908,0.044938417,1.020377604,"orange",-0.34659449662859,-0.398409272282571,-0.439424333298112,-0.0111563211981872,-0.0273710014737165,-0.0667613258260017,-0.360765869685464,-0.233404361564522,-0.28658419263722
20,"CAZ14",0.41128,-79.265714,148,"CA_M","A_Caca",5.152284256,0.456807667,433.6275372,0.756431943,0.473238558,0.454130112,0.072700002,1.595079985,"orange",-0.30397720504431,-0.39205989615548,-0.418419286325464,-0.0903845342837259,-0.0982282101020659,-0.119599708903971,-0.336885431723882,-0.237059173259875,-0.350116181172704
21,"CAZ17",0.407272,-79.2509,163,"CA_M","A_Caca",5.227775793,0.407774247,466.1567818,0.813944499,0.43686099,0.485362045,0.097457261,1.557986111,"orange",-0.269579136438774,-0.369350404424795,-0.430258310354797,-0.0812772101353847,-0.104058224210615,-0.136807952224159,-0.318103283012477,-0.207819477255833,-0.280878679569703
28,"OGZ04",0.409508,-79.253342,160,"OG_M","A_Old",5.154506652,0.466715695,370.6441043,0.729602632,0.433870283,0.440084064,0.038960588,0.957130456,"sienna",8.56418708700582e-06,-0.0848223977115586,-0.174217811734604,-0.0153430649437222,-0.0263935902992936,-0.0428323243775047,-0.0272588433155441,-0.0663360766465594,-0.198498761401739
29,"OGZ09",0.395029,-79.25339,170,"OG_M","A_Old",5.212150501,0.431237732,244.5543288,0.633533296,0.479267394,0.431166862,0.028804686,0.752759177,"sienna",-0.120268563269806,-0.084961475904232,-0.110621884502721,0.000842389125989084,-0.00891818284375989,-0.00884982413808291,-0.0800551346865148,-0.08008327940679,-0.0922354813289353
30,"OGZ10",0.433639,-79.235779,165,"OG_M","A_Old",5.198501186,0.43580552,357.0446583,0.776749384,0.453501523,0.43775491,0.041873139,0.755719866,"sienna",0.0895486351646097,0.0632321010813973,0.0732274446700245,-0.00531784922163713,-0.000795554192399629,0.00192627226794857,0.0636570861274119,0.076150415340514,-0.00174656911358212
34,"OGZ22",0.466516,-79.098848,180,"OG_M","A_Old",5.210437781,0.424652695,370.0212575,0.799038842,0.503329859,0.444055565,0.051697682,1.084316096,"sienna",-0.0525111150326865,0.0961671488145698,0.141605832720225,0.0546561423957207,0.0568468792264857,0.0927045293768041,-0.0245592956467264,0.000335305904288641,0.0749038696718365
35,"OGZ23",0.456369,-79.114619,180,"OG_M","A_Old",5.195745957,0.437608535,443.0342141,0.825717018,0.518638889,0.443775579,0.046701625,1.246906002,"sienna",-0.0421493014532423,0.0695242554798219,0.128514551530884,0.00720777050665546,0.036102587289458,0.0703034151749124,-0.0251968666909087,0.0339343613619848,0.037708535383739
36,"OGZ25",0.456803,-79.13897,180,"OG_M","A_Old",5.21139803,0.430826978,492.1381646,0.823181152,0.504139397,0.437774181,0.043775956,1.139037698,"sienna",-0.122511866602001,-0.090585277819282,-0.0840950112440888,-0.0127470843336786,-0.0078387000649614,-0.00904858083768632,-0.0780550920696806,0.0216205473912069,-0.0624564629097353
