"","Tinamus_major","Crypturellus_berlepschi","Crypturellus_soui","Odontophorus_erythrops","Rhynchortyx_cinctus","Ortalis_erythroptera","Crax_rubra","Aburria_aburri","Penelope_ortoni","Penelope_purpurascens","Nyctibius_griseus","Nyctiphrynus_rosenbergi","Nyctidromus_albicollis","Florisuga_mellivora","Heliodoxa_jacula","Amazilia_tzacatl","Damophila_julie","Amazilia_rosenbergi","Amazilia_amabilis","Amazilia_franciae","Thalurania_colombica","Heliomaster_longirostris","Anthracothorax_nigricollis","Heliothryx_barroti","Androdon_aequatorialis","Phaethornis_yaruqui","Phaethornis_striigularis","Glaucis_aeneus","Threnetes_ruckeri","Eutoxeres_aquila","Panyptila_cayennensis","Chaetura_cinereiventris","Chaetura_spinicaudus","Streptoprocne_zonaris","Vanellus_chilensis","Falco_rufigularis","Herpetotheres_cachinnans","Micrastur_plumbeus","Micrastur_semitorquatus","Micrastur_ruficollis","Touit_dilectissimus","Forpus_coelestis","Pyrrhura_melanura","Aratinga_erythrogenys","Ara_ambiguus","Ara_severus","Pyrilia_pulchra","Pionus_menstruus","Pionus_chalcopterus","Amazona_autumnalis","Amazona_farinosa","Sapayoa_aenigma","Ampelioides_tschudii","Cephalopterus_penduliger","Querula_purpurata","Lipaugus_unirufus","Manacus_manacus","Lepidothrix_coronata","Pipra_mentalis","Xenopipo_holochlora","Masius_chrysopterus","Platyrinchus_coronatus","Platyrinchus_mystaceus","Myiotriccus_ornatus","Capsiempis_flaveola","Phyllomyias_griseiceps","Elaenia_flavogaster","Tyrannulus_elatus","Myiopagis_caniceps","Myiopagis_viridicata","Myiopagis_subplacens","Ornithion_brunneicapillus","Camptostoma_obsoletum","Zimmerius_albigularis","Zimmerius_chrysops","Rhytipterna_holerythra","Myiarchus_tuberculifer","Sirystes_albogriseus","Legatus_leucophaius","Myiodynastes_maculatus","Megarynchus_pitangua","Tyrannus_melancholicus","Tyrannus_niveigularis","Myiozetetes_granadensis","Myiozetetes_similis","Myiozetetes_cayanensis","Attila_spadiceus","Attila_torridus","Mitrephanes_phaeocercus","Empidonax_virescens","Empidonax_alnorum","Contopus_cooperi","Contopus_virens","Contopus_sordidulus","Myiophobus_fasciatus","Fluvicola_nengeta","Pyrocephalus_rubinus","Colonia_colonus","Conopias_albovittatus","Cnipodectes_subbrunneus","Todirostrum_cinereum","Todirostrum_nigriceps","Lophotriccus_pileatus","Myiornis_atricapillus","Rhynchocyclus_pacificus","Tolmomyias_assimilis","Mionectes_olivaceus","Mionectes_oleagineus","Leptopogon_superciliaris","Tityra_semifasciata","Tityra_inquisitor","Pachyramphus_albogriseus","Pachyramphus_cinnamomeus","Pachyramphus_homochrous","Pachyramphus_spodiurus","Schiffornis_turdina","Myiobius_atricaudus","Myiobius_sulphureipygius","Terenotriccus_erythrurus","Thamnistes_anabatinus","Taraba_major","Cymbilaimus_lineatus","Dysithamnus_puncticeps","Dysithamnus_mentalis","Thamnophilus_atrinucha","Cercomacra_tyrannina","Phaenostictus_mcleannani","Gymnopithys_leucaspis","Myrmeciza_immaculata","Myrmeciza_nigricauda","Myrmeciza_berlepschi","Myrmeciza_exsul","Hylophylax_naevioides","Myrmotherula_schisticolor","Myrmotherula_axillaris","Myrmotherula_ignota","Myrmotherula_pacifica","Microrhopias_quixensis","Epinecrophylla_fulviventris","Terenura_callinota","Pittasoma_rufopileatum","Glyphorynchus_spirurus","Campylorhamphus_pusillus","Campylorhamphus_trochilirostris","Lepidocolaptes_souleyetii","Xiphorhynchus_lachrymosus","Xiphorhynchus_erythropygius","Dendrocolaptes_sanctithomae","Sittasomus_griseicapillus","Dendrocincla_fuliginosa","Xenops_minutus","Xenops_rutilans","Furnarius_leucopus","Synallaxis_brachyura","Cranioleuca_erythrops","Xenerpestes_minlosi","Premnoplex_brunnescens","Anabacerthia_variegaticeps","Automolus_ochrolaemus","Hyloctistes_subulatus","Automolus_rubiginosus","Sclerurus_mexicanus","Sclerurus_guatemalensis","Formicarius_nigricapillus","Scytalopus_chocoensis","Grallaria_guatimalensis","Hylopezus_perspicillatus","Vireolanius_leucotis","Vireo_olivaceus","Hylophilus_decurtatus","Hylophilus_ochraceiceps","Pygochelidon_cyanoleuca","Neochelidon_tibialis","Stelgidopteryx_ruficollis","Progne_chalybea","Ramphocaenus_melanurus","Polioptila_schistaceigula","Polioptila_plumbea","Microbates_cinereiventris","Thryothorus_leucopogon","Thryothorus_nigricapillus","Henicorhina_leucosticta","Cyphorhinus_phaeocephalus","Troglodytes_aedon","Campylorhynchus_zonatus","Microcerculus_marginatus","Odontorchilus_branickii","Turdus_assimilis","Turdus_obsoletus","Turdus_maculirostris","Catharus_ustulatus","Euphonia_saturata","Euphonia_laniirostris","Euphonia_minuta","Euphonia_xanthogaster","Euphonia_fulvicrissa","Carduelis_xanthogastra","Zonotrichia_capensis","Arremon_aurantiirostris","Chlorospingus_flavovirens","Chlorospingus_flavigularis","Chlorospingus_canigularis","Arremonops_conirostris","Cacicus_uropygialis","Cacicus_cela","Psarocolius_wagleri","Amblycercus_holosericeus","Dives_warszewiczi","Molothrus_bonariensis","Icterus_mesomelas","Geothlypis_semiflava","Parula_pitiayumi","Phaeothlypis_fulvicauda","Basileuterus_chrysogaster","Wilsonia_canadensis","Hemithraupis_guira","Heterospingus_xanthopygius","Chrysothlypis_salmoni","Chlorophanes_spiza","Tachyphonus_luctuosus","Tachyphonus_delatrii","Ramphocelus_flammigerus","Tachyphonus_rufus","Volatinia_jacarina","Cyanerpes_caeruleus","Dacnis_lineata","Dacnis_cayana","Dacnis_berlepschi","Dacnis_venusta","Tersina_viridis","Oryzoborus_funereus","Oryzoborus_angolensis","Oryzoborus_crassirostris","Sporophila_nigricollis","Sporophila_corvina","Saltator_grossus","Saltator_maximus","Saltator_atripennis","Mitrospingus_cassinii","Chlorophonia_flavirostris","Tiaris_obscurus","Tiaris_olivaceus","Coereba_flaveola","Tangara_icterocephala","Tangara_florida","Tangara_johannae","Tangara_gyrola","Tangara_lavinia","Tangara_palmeri","Tangara_larvata","Tangara_cyanicollis","Thraupis_palmarum","Thraupis_episcopus","Cyanocompsa_cyanoides","Chlorothraupis_olivacea","Chlorothraupis_stolzmanni","Piranga_rubra","Passer_domesticus","Glaucidium_peruanum","Pulsatrix_perspicillata","Strix_virgata","Strix_nigrolineata","Megascops_guatemalae","Trogon_chionurus","Trogon_comptus","Trogon_caligatus","Trogon_massena","Trogon_rufus","Trogon_collaris","Megaceryle_torquata","Momotus_momota","Baryphthengus_martii","Electron_platyrhynchum","Notharchus_pectoralis","Notharchus_tectus","Notharchus_hyperrhynchus","Micromonacha_lanceolata","Malacoptila_panamensis","Nystalus_radiatus","Galbula_ruficauda","Jacamerops_aureus","Ramphastos_brevis","Ramphastos_ambiguus","Pteroglossus_torquatus","Aulacorhynchus_haematopygus","Eubucco_bourcierii","Capito_squamatus","Picumnus_olivaceus","Campephilus_gayaquilensis","Campephilus_haematogaster","Colaptes_rubiginosus","Piculus_litae","Celeus_loricatus","Dryocopus_lineatus","Veniliornis_kirkii","Veniliornis_callonotus","Melanerpes_pucherani","Coragyps_atratus","Leptodon_cayanensis","Chondrohierax_uncinatus","Elanoides_forficatus","Spizaetus_tyrannus","Spizaetus_ornatus","Ictinia_plumbea","Geranospiza_caerulescens","Rostrhamus_sociabilis","Leucopternis_princeps","Leucopternis_semiplumbeus","Buteo_nitidus","Buteo_brachyurus","Buteo_magnirostris","Leucopternis_plumbeus","Harpagus_bidentatus","Accipiter_bicolor","Columbina_buckleyi","Claravis_pretiosa","Leptotila_verreauxi","Leptotila_pallida","Geotrygon_saphirina","Geotrygon_veraguensis","Geotrygon_montana","Patagioenas_cayennensis","Patagioenas_goodsoni","Patagioenas_speciosa","Patagioenas_subvinacea","Aramides_wolfi","Laterallus_albigularis","Porphyrio_martinica","Gallinula_chloropus","Piaya_cayana","Tapera_naevia","Neomorphus_radiolosus","Crotophaga_ani","Bubulcus_ibis"
"CR07",2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,6,0,1,1,0,0,0,12,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,11,0,0,2,0,1,0,1,0,0,1,0,0,2,0,2,2,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,3,3,3,0,0,0,6,0,0,0,0,1,5,6,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,1,1,0,0,0,9,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,1,4,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0
"CR08",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,3,0,1,0,1,0,0,4,0,2,0,0,0,3,1,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,14,0,0,6,0,0,2,3,0,0,1,0,0,0,6,1,0,0,2,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,7,1,1,0,0,0,9,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,6,2,0,0,0,0,1,0,0,0,1,8,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0
"CR10",6,0,3,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,0,0,0,0,1,5,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,5,0,0,0,1,19,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1,3,2,0,0,13,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,0,2,2,11,1,0,0,0,8,0,1,0,0,0,2,1,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,4,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,2,0,0,1,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"CR11",3,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,3,1,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,2,0,2,2,2,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,4,9,0,1,0,0,0,3,0,0,0,0,0,4,1,1,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0
"CR14",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CAZ01",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,3,5,0,0,0,0,9,6,0,0,0,0,1,0,5,4,0,2,1,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,4,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CAZ05",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,0,14,1,0,0,0,0,1,0,1,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CAZ07",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,7,3,0,0,1,0,0,0,3,9,2,3,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,6,5,0,2,0,12,0,0,3,0,0,0,0,0,7,0,1,0
"CAZ12",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,12,0,0,0,0,15,0,0,0,1,0,0,0,11,13,1,1,15,14,0,1,0,0,0,0,0,0,2,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,6,2,0,0,6,0,0,4,0,0,18,0,0,0,0,0,8,0,2,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,1,2,0,0,1,7,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,4,12,8,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,8,4,0,9,1,8,0,0,8,0,0,0,0,0,2,0,1,0
"CAZ14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,7,0,0,0,0,12,9,0,0,1,0,2,0,0,19,3,1,1,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,17,0,4,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,0,0,10,0,0,1,0,0,8,0,0,0,0,0,5,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,2,0,0,0,0,0,1,0,0,10,0,0,1,2,0,0,0,0,0,0,0,3,5,0,12,0,0,0,0,0,7,0,0,0,0,0,0,1,3,14,10,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7,0,11,0,2,1,0,3,0,0,0,0,0,0,0,2,0
"CAZ17",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,0,1,1,0,17,3,0,0,0,0,0,0,1,14,0,2,1,13,0,0,0,1,0,0,0,0,4,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,2,0,0,3,0,0,4,0,0,19,1,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,3,0,1,0,0,0,0,0,0,3,1,7,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,5,0,0,0,2,0,6,4,0,8,0,2,0,0,3,0,0,0,0,1,0,0,3,1
"CA59",1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,6,15,0,0,0,0,11,0,0,0,2,0,18,0,4,5,5,1,3,10,8,0,0,2,0,0,0,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,2,0,1,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,7,0,5,0,1,0,0,4,0,0,1,5,0,5,2,1,0,1,0,9,0,0,0,0,0,0,7,5,4,14,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8,7,6,0,9,0,1,1,0,9,0,0,0,0,0,0,0,0,0
"CA60",3,0,1,2,0,0,0,0,0,0,0,0,1,0,0,8,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,0,0,0,9,5,0,0,5,0,1,0,0,7,0,0,5,13,1,0,1,1,0,0,0,5,0,1,0,5,0,0,6,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,8,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,5,6,0,0,0,2,0,0,12,1,0,11,0,4,0,0,0,1,1,1,3,0,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,9,0,2,0,4,0,0,0,1,3,0,0,2,5,3,6,0,0,0,0,0,4,0,0,1,1,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0
"CA61",1,0,4,7,3,0,0,3,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2,2,5,0,0,0,1,0,3,0,0,0,0,0,0,2,0,1,0,10,0,1,0,1,1,5,0,0,4,0,0,1,2,2,0,0,1,7,2,0,0,0,0,0,1,9,0,0,0,3,0,0,3,1,2,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,1,5,0,0,3,1,0,0,2,0,0,5,0,0,0,1,7,1,1,0,0,2,0,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,3,1,0,0,0,0,1,0,0,9,3,0,7,0,2,0,0,0,3,0,3,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,23,0,0,2,2,5,1,0,3,2,0,0,1,0,1,9,1,1,0,0,0,12,0,2,0,0,1,0,2,3,5,7,1,0,0,1,0,0,0,0,0,0,1,2,5,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,8,1,0,0,0,0,1,0,0,0,0,1,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,1,2,0,8,0,0,0,0,1,2,0,0,0
